"","country","year","vector","popvector","aidvector","percIN","percOUT","percGIVEN","percRECEIVED","percINVEST"
"80","Latvia",1990,"11",1,1,1.25377794950418,6.28308346015678,0,0,0
"81","Morocco",1990,"11",1,1,0.0176552200453641,1.83383027133167,0,42.809207559635,6.45274689922603
"82","Madagascar",1990,"11",1,1,0.0331289816488827,0.115384129026514,0,109.790456769651,2.54053497897659
"83","Maldives",1990,"11",1,1,1.04220183486239,2.46284403669725,0,98.2027076505526,15.9668162319666
"84","Mexico",1990,"44",4,4,0.152195896609676,2.20182469673542,0,12.4814671651222,10.294820547211
"85","Mali",1990,"11",1,1,0.209877889549432,2.28985242408255,0,125.33239139768,0.243807659265014
"86","Malta",1990,"11",1,1,1.74944235818957,0.0118587119180055,0,1.88104970298545,14.5437793543541
"87","Myanmar",1990,"14",4,1,0,0.302971085341363,0,0,0
"88","Mongolia",1990,"11",1,1,0,4.05833861762841,0,0.285461962482249,0
"89","Mozambique",1990,"11",1,1,4.98972814104966,0.150807984851298,0,339.365261132116,4.93614985846666
"90","Mauritania",1990,"11",1,1,0.122055775041818,0.875095433285648,0,176.209353287959,3.40594704491928
"91","Mauritius",1990,"11",1,1,1.35562324384312,1.89190337890487,0,37.0449475594891,4.06458782036744
"92","Malawi",1990,"11",1,1,0.215517103946669,9.77731103779595,0,157.759209690981,1.08957837800628
"93","Malaysia",1990,"11",1,1,2.84385943361896,1.08414116952977,0,11.3066495511112,47.3869277277339
"94","Namibia",1990,"11",1,1,1.77470438667078,0.134162564899993,0,11.7157135472417,15.0298782629185
"95","New Caledonia",1990,"11",1,1,3.11060919022347,0.164424601665311,0,16.7966909378042,2.15434240022043
"96","Niger",1990,"11",1,1,0.404341115213519,0.478836646240011,0,105.849672424799,2.6908216500307
"97","Nigeria",1990,"14",4,1,0.0491940034519888,0.188633139730035,0,43.4008433461414,17.8868957930354
"98","Nicaragua",1990,"11",1,1,0.00682822125560131,2.7699897986857,0,194.176616452531,14.1828939855176
"99","Netherlands",1990,"41",1,4,1.93993115076671,0.473885246373109,3.79441981646203,0,11.4529141371517
"100","Norway",1990,"11",1,1,1.39208713576628,0.400285466864931,4.69645041597595,0,3.05974921518316
"101","Nepal",1990,"11",1,1,0.655586625921849,1.20859444464127,0,100.912667231181,0
"102","Oman",1990,"11",1,1,4.8891405224376,1.2879664532748,0,3.49966647132142,5.13699394015716
"103","Pakistan",1990,"14",4,1,0.880488605460436,2.28957165392319,0,58.2712624760639,4.02329869468571
"104","Panama",1990,"11",1,1,0.588908988632179,0.275272054746844,0,20.2944631527845,14.9145930140414
"105","Peru",1990,"11",1,1,0.00228619516556314,1.38885210919601,0,11.9950416503185,15.1636389599172
"106","Philippines",1990,"14",4,1,0.0948305447820681,1.2288340387174,0,48.5640020343227,9.32261661082938
"107","Papua New Guinea",1990,"11",1,1,0.0831188221562648,0.0951200641284801,0,146.000425473516,15.3843094421898
"108","Poland",1990,"14",4,1,0.0865529340227131,0.709833243516231,0,12.4454335312595,7.04479929633871
"109","Portugal",1990,"11",1,1,2.5346536557651,1.04832930624173,1.06285214754934,0.651471204952415,12.3669535459075
"110","Paraguay",1990,"11",1,1,0.430187909078396,1.16789360520583,0,10.5151150548544,8.6493865847263
"111","French Polynesia",1990,"11",1,1,0.402278570348339,0.680042345112668,0,11.6999918690148,0
